ID,Item,Price
8901,Potion of greater healing,150
2109,Potion of superior healing,450
5432,Potion of supreme healing,1350
1098,Potion of climbing,50
6543,Potion of invisibility,180
4321,Potion of mind reading,180
8765,Potion of animal friendship,180
3210,Potion of fire breath,180
5678,Potion of growth,180
2345,Potion of hill giant strength,180
9876,Potion of frost giant strength,180
6789,Potion of stone giant strength,180
4567,Potion of heroism,180
7654,Potion of water breathing,180
5432,Potion of diminution,180
0987,Potion of gaseous form,180
2109,Potion of resistance,180
5678,Potion of speed,180
8765,Potion of flying,180
1234,Potion of longevity,180
8901,Potion of vitality,180
6789,Potion of invulnerability,180
3456,Potion of mind control,180
2109,Potion of poison,180
4567,Potion of sleep,100
7890,Potion of acid resistance,180
5432,Potion of cold resistance,180
2109,Potion of fire resistance,180
9876,Potion of force resistance,180
2345,Potion of lightning resistance,180
8765,Potion of necrotic resistance,180
5432,Potion of poison resistance,180
0987,Potion of psychic resistance,180
7890,Potion of radiant resistance,180
4567,Potion of thunder resistance,180
8901,Potion of clairvoyance,180
3210,Potion of fire giant strength,180
2345,Potion of healing,180
